week,team,st_plays,st_epa,st_epa_per_play,ko_plays,ko_tb_rate,ko_opp_start_yd100,punt_plays,punt_opp_start_yd100,ret_plays,ret_epa,ret_epa_against,fg_att,fg_made,fg_pct,fg_epa_per_att,xp_att,xp_made,xp_pct,xp_epa_per_att,st_pen_rate
14,NYJ,15,2.6537131941397245,0.1769142129426483,7,0.8571428571428571,71.14285714285714,2,74.0,0,0.0,0.0,4,0,0.0,0.6634282985349311,2,0,0.0,1.3268565970698623,0.13333333333333333
14,PHI,11,-2.670912030606633,-0.24281018460060302,4,0.75,71.5,4,66.25,0,0.0,0.0,1,0,0.0,-2.670912030606633,2,0,0.0,-1.3354560153033166,0.0
14,PIT,14,8.300563329757452,0.5928973806969609,3,1.0,70.0,6,77.5,0,0.0,0.0,2,0,0.0,4.150281664878726,3,0,0.0,2.766854443252484,0.07142857142857142
14,SEA,15,1.010251622203313,0.06735010814688754,4,0.75,70.75,5,57.0,0,0.0,0.0,3,0,0.0,0.3367505407344377,3,0,0.0,0.3367505407344377,0.0
14,SF,11,0.7235274193020649,0.06577521993655135,3,1.0,70.0,2,59.5,0,0.0,0.0,1,0,0.0,0.7235274193020649,5,0,0.0,0.144705483860413,0.0
14,TB,11,-2.6726393127443355,-0.24296721024948506,4,0.5,71.0,3,71.33333333333333,0,0.0,0.0,0,0,0.0,0.0,4,0,0.0,-0.6681598281860839,0.09090909090909091
14,TEN,8,3.122500182489638,0.39031252281120477,3,0.3333333333333333,71.66666666666667,3,57.666666666666664,0,0.0,0.0,2,0,0.0,1.561250091244819,0,0,0.0,0.0,0.25
15,ARI,12,3.777834996693929,0.3148195830578274,4,0.75,67.75,2,62.0,0,0.0,0.0,3,0,0.0,1.2592783322313097,3,0,0.0,1.2592783322313097,0.0
15,ATL,14,-1.5348632328380396,-0.10963308805985997,4,0.5,65.0,6,48.0,0,0.0,0.0,3,0,0.0,-0.5116210776126798,1,0,0.0,-1.5348632328380396,0.0
15,BAL,10,2.4301045912315495,0.24301045912315494,3,0.3333333333333333,76.33333333333333,2,61.0,0,0.0,0.0,0,0,0.0,0.0,5,0,0.0,0.4860209182463099,0.2
15,BUF,17,5.867788151507028,0.34516400891217813,7,0.7142857142857143,71.28571428571429,1,55.0,0,0.0,0.0,3,0,0.0,1.9559293838356762,6,0,0.0,0.9779646919178381,0.0
