season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side,start_own_yardline_avg,hidden_yards_per_drive,avg_start_yardline_100_off,turnover_drives
2025,2,GB,12,3,2,4,0,404.0,77,4,66.67,27,,5,0.42,0.25,0.1666666666666666,0.0,0.3333333333333333,33.67,6.42,0.3333333333333333,2.25,2.25,off,33.33,-3.85,66.67,0.0
2025,2,HOU,10,3,0,6,0,360.0,88,4,79.6,21,,3,0.3,0.3,0.0,0.0,0.6,36.0,8.8,0.4,2.1,2.1,def,20.4,16.7,79.6,0.0
2025,2,HOU,10,2,2,4,0,266.0,54,2,62.9,20,,4,0.4,0.2,0.2,0.0,0.4,26.6,5.4,0.2,2.0,2.0,off,37.1,16.7,62.9,0.0
2025,2,IND,9,4,0,3,1,324.0,64,3,61.56,28,,4,0.44,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,36.0,7.11,0.3333333333333333,3.111111111111111,3.11,def,38.44,-16.84,61.56,1.0
2025,2,IND,10,2,5,0,0,473.0,78,6,78.4,29,,7,0.7,0.2,0.5,0.0,0.0,47.3,7.8,0.6,2.9,2.9,off,21.6,-16.84,78.4,0.0
2025,2,JAX,11,4,1,3,3,350.0,73,4,68.45,31,,5,0.45,0.3636363636363636,0.0909090909090909,0.2727272727272727,0.2727272727272727,31.82,6.64,0.3636363636363636,2.8181818181818183,2.82,def,31.55,2.45,68.45,3.0
2025,2,JAX,12,3,2,2,3,400.0,76,6,66.0,27,,5,0.42,0.25,0.1666666666666666,0.25,0.1666666666666666,33.33,6.33,0.5,2.25,2.25,off,34.0,2.45,66.0,3.0
2025,2,KC,10,2,2,5,0,216.0,72,2,66.1,20,,4,0.4,0.2,0.2,0.0,0.5,21.6,7.2,0.2,2.0,2.0,def,33.9,-7.68,66.1,0.0
2025,2,KC,9,2,1,3,1,294.0,66,2,73.78,17,,3,0.33,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,32.67,7.33,0.2222222222222222,1.8888888888888888,1.89,off,26.22,-7.68,73.78,1.0
2025,2,LA,11,1,4,5,1,252.0,79,3,71.18,19,,5,0.45,0.0909090909090909,0.3636363636363636,0.0909090909090909,0.4545454545454545,22.91,7.18,0.2727272727272727,1.7272727272727273,1.73,def,28.82,4.55,71.18,0.9999999999999999
